id,section,text,tip,chapter,region,reward,missable,notes
"bounty-benedict","bounties","Benedict Allbright ($40)","Rocks west of Valentine near Dakota River. MUST bring ALIVE.","","","$40 (Alive only)","",""
"bounty-ellie","bounties","Ellie Anne Swan ($50)","Camp near Wallace Station. Alive = $50, Dead = $25.","","","","",""
"bounty-mark","bounties","Mark Johnson","Bluewater Marsh, west of Kamassa River. Former robber with family. ALIVE only.","","","Bring Alive","",""
"bounty-robbie","bounties","Robbie Laidlaw","Cabin southeast of Braithwaite Manor. Available after catching Mark Johnson. ALIVE only.","","","Bring Alive","",""
"bounty-camille","bounties","Camille de Millemont","Catfish Jacksons. Lemoyne Raiders member. Dead or Alive (alive = better).","","","Dead or Alive","",""
"bounty-joshua","bounties","Joshua Brown ($40)","Old mine north of Strawberry. Shootist. ALIVE only.","","","$40 (Alive only)","",""
"bounty-bart","bounties","Bart Cavanaugh","⚠️ EPILOGUE ONLY. Gang leader with crew, found passed out at camp.","epilogue","","Alive better","",""
"bounty-lindsey","bounties","Lindsey Wofford","Fort Brennand, SW of Van Horn. Lemoyne Raiders leader. Dead or Alive.","","","Dead or Alive","",""
"bounty-anthony","bounties","Anthony Foreman ($50)","⚠️ EPILOGUE ONLY. Doyle\'s Tavern. Only if NOT killed in story.","epilogue","","$50 (Alive only)","",""
"bounty-joaquin","bounties","Joaquin Arroyo","West of Solomon\'s Folly. Del Lobo gang. ALIVE only.","","","Bring Alive","",""
"bounty-esteban","bounties","Esteban Cortez","Mine SW of Tumbleweed. Dead or Alive.","","","Dead or Alive","",""
"req-jack-thimble","camp-requests","Thimble for Jack","Find in houses/cabins. He gives you a drawing.","","","Jack's Drawing","YES",""
"req-jack-comic","camp-requests","Comic Book for Jack","General stores sell them. He gives you chocolate.","","","Chocolate Bar","YES",""
"req-charles-moonshine","camp-requests","Moonshine for Charles","Fence or general store. He makes Fire Arrows!","","","Fire Arrows","YES",""
"req-charles-oleander","camp-requests","Oleander Sage for Charles","Bayou area plant. He makes Poison Arrows!","","","Poison Arrows","YES",""
"req-charles-eagle","camp-requests","Eagle Feather for Charles (Epilogue)","🦅 Shoot eagles or find feathers. EPILOGUE only.","epilogue","","Horse Reviver","",""
"req-hosea-book","camp-requests","The Case of the Shrew in the Fog","General stores. Read ""Tale of Deceitful German"" first!","","","Predator Bait","YES",""
"req-hosea-ginseng","camp-requests","American Ginseng (×2)","🌿 Forest areas. He gives Health Cure.","","","Health Cure","YES",""
"req-pearson-compass","camp-requests","Naval Compass","⚓ Shipwrecks or naval locations. He gives Guarma Rum!","","","Guarma Rum","YES",""
"req-pearson-rabbit","camp-requests","Rabbit Carcass","🐇 Hunt any rabbit (perfect not needed). He gives Scouting Jacket!","","","Scouting Jacket","YES",""
"req-abigail-money","camp-requests","$5 for Abigail (Jack\","💵 Just donate $5. She thanks you for caring about Jack.","","","","YES",""
"req-bill-pomade","camp-requests","Hair Pomade for Bill","General stores. He gives Repeater Ammo.","","","Repeater Ammo","YES",""
"req-dutch-pipe","camp-requests","Pipe for Dutch","Random finds or Fence. He gives ornate Spurs.","","","Spurs","YES",""
"req-javier-oleander","camp-requests","Oleander Sage for Javier","Bayou plant. He gives Poison Throwing Knives.","","","Poison Knives","YES",""
"req-kieran-burdock","camp-requests","Burdock Root (×2) for Kieran","⚠️ Common plant. Do before Chapter 4! He gives Horse Medicine.","3","","Horse Medicine","YES",""
"req-lenny-watch","camp-requests","Pocket Watch for Lenny","Rob wealthy NPCs or houses. He gives Dynamite!","","","Dynamite","YES",""
"req-marybeth-pen","camp-requests","Fountain Pen for Mary-Beth","Houses or general stores. She gives Gold Ring.","","","Gold Ring","YES",""
"req-molly-mirror","camp-requests","Pocket Mirror for Molly","Houses or stores. She gives a Cigar.","3","","Cigar","YES",""
"req-sadie-harmonica","camp-requests","Harmonica for Sadie","Random NPC loot or houses. She gives Gun Oil.","3","","Gun Oil","YES",""
"req-sean-bourbon","camp-requests","Kentucky Bourbon for Sean","⚠️ Buy at saloons. Do this FAST—Sean leaves early!","2","","Fire Bottle","YES",""
"req-susan-herbs","camp-requests","Seasoning Herbs (×2) for Susan","Wild Mint, Oregano, or Thyme. She gives Miracle Tonic.","","","Miracle Tonic","YES",""
"req-tilly-necklace","camp-requests","Necklace for Tilly","💎 Jewelry boxes or rob wealthy NPCs. She gives Two Health Cures!","","","Two Health Cures","YES",""
"req-uncle-cure","camp-requests","Uncle","📦 Milkweed, Bourbon, Peppermint, Pomade, Stringy Meat!","","","Clothing Items","",""
"dream-20","collectibles","Elysian Pool Area (LAST)","Beyond old house foundation. LAST ONE → Get Map!","","","","YES",""
"exotic-complete","collectibles","✨ COMPLETE → Get Rewards!","🎁 Return to Algernon for: Algernon's Revolver, Exotic Hat, $200 cash!","","","Algernon's Revolver + Hat + $200","YES",""
